country,adult_literacy_rate,gross_national_income_per_capita_ppp_international,population_in_thousands_total,population_median_age_years,per_capita_total_expenditure_on_health_ppp_int,per_capita_government_expenditure_on_health_ppp_int,healthy_life_expectancy_hale_at_birth_years_both_sexes,life_expectancy_at_birth_years_both_sexes,population_with_sustainable_access_to_improved_sanitation_total,aid_received_total,income_per_person,population_proportion_over_60,population_proportion_under_15,contraceptive_prevalence,total_expenditure_on_health_as_percentage_of_gross_domestic_product,children_per_woman,infant_mortality_rate,patents_granted
South Africa,82.4,8900,48282,24,869,364,44,51,59,6.8,8477,7,32,60.3,8.6,2.64,55,5453
Spain,97.2,28200,43887,39,2388,1732,73,81,100,0,27270,22,14,0,8.1,1.41,4,26626
Sri Lanka,90.7,3730,19207,30,213,105,62,72,86,1.1900000000000002,3481,10,24,70,4.2,1.8800000000000001,12,160
Belize,70.3,7080,282,21,426,254,60,69,47,1.2,7290,6,37,0,5.3,2.9299999999999997,15,0
Sudan,60.9,1780,37707,20,61,23,49,60,35,1.83,2249,6,40,7.6,3.8,4.23,62,79
Suriname,89.6,7720,455,26,361,151,59,68,82,439e5,7234,9,29,42.1,7.4,2.42,30,0
Swaziland,79.6,4700,1134,19,353,219,34,42,50,463e5,4384,5,39,46,5.9,3.4499999999999997,110,70
Sweden,0,34310,9078,40,3119,2533,73,81,100,0,31995,24,17,0,8.9,1.8,3,24546
Switzerland,0,40840,7455,40,4312,2598,73,82,100,0,35520,21,16,0,11.3,1.42,4,21852
Syria,80.8,4110,19408,21,109,52,62,72,92,787e5,4059,5,36,58.3,3.9,0,0,62
Taiwan,0,0,0,0,0,0,0,0,0,0,26069,0,0,0,0,0,5,0
Tajikistan,99.5,1560,6640,20,71,16,55,64,92,2.51,1413,5,39,37.9,5,3.3499999999999996,59,27
Tanzania,69.4,980,39459,18,45,27,40,50,33,1.48,1018,5,44,26.4,5.5,5.159999999999999,76,8
Thailand,92.6,7440,63444,33,346,223,60,72,96,-1.6500000000000001,6869,12,21,71.5,3.5,1.85,8,541
Benin,34.7,1250,8760,18,46,25,44,55,30,3.46,1390,4,44,18.6,5.3,5.42,89,0
Timor-Leste,0,5100,1114,17,169,150,50,66,41,0,0,5,45,10,16.4,0,0,0
Togo,53.2,770,6410,18,70,20,45,57,12,828e5,888,5,43,25.7,5.5,4.8,71,0
Tonga,98.9,5470,100,21,289,218,62,71,96,318e5,5135,9,37,0,5.4,3.8299999999999996,20,0
Trinidad and Tobago,98.5,16800,1328,29,811,438,62,69,92,-208e4,15352,10,22,38.2,4.2,1.6400000000000001,32,17
Tunisia,74.3,6490,10215,27,488,214,62,72,85,3.65,6461,9,25,62.6,5.3,1.93,20,146
Turkey,87.4,8410,73922,27,645,461,62,73,88,4.59,7786,8,28,71,5.6,2.14,26,1885
Turkmenistan,98.8,3990,4899,24,259,172,54,63,0,293e5,4247,6,31,61.8,4.8,2.5,47,95
Tuvalu,0,0,10,0,205,189,53,65,89,0,0,8,34,0,11.4,0,0,0
Uganda,68.1,880,29899,15,143,39,43,50,33,1.1800000000000002,991,4,49,23.7,7.2,6.46,79,92
Ukraine,99.4,6110,46557,39,542,298,59,67,93,3.96,5583,21,14,0,7,1.22,20,11670
Bermuda,0,0,0,0,0,0,0,0,0,78750,69916.79,0,0,0,0,0,0,0
